EstablishmentName,URN,Latitude,Longitude,Overall effectiveness,Inspection start date,Ofsted Rating
Connaught School for Girls,103095,51.5656782,0.0043485,nan,,
Heathcote School & Science College,103097,51.6259665,0.0123559,2,26/09/2018,Good
Norlington School and 6th Form,103098,51.5671697,-0.0018155,nan,,
Warwick School for Boys,103099,51.5850164,-0.0026857,nan,,
Willowfield School,103100,51.5859084,-0.0402399,2,11/01/2012,Good
Leytonstone School,103101,51.5754951,0.0069652,2,15/06/2016,Good
The McEntee School,103102,51.6000612,-0.0243827,nan,,
Walthamstow School for Girls,103103,51.5847391,-0.0134045,1,13/06/2018,Outstanding
Rush Croft Sports College,103104,51.6040042,-0.0120694,nan,,
Kelmscott School,103105,51.5755487,-0.0281654,2,24/05/2016,Good
Holy Family Catholic School,103106,51.5894104,-0.0072788,2,21/03/2023,Good
Highams Park School,103107,51.6078748,0.0034219,nan,,
Chingford Foundation School,103108,51.6298934,-0.0077864,nan,,
St Paul's Academy,105135,51.492816,0.1058041,3,25/05/2023,Requires Improvement
St Edmund's School,126622,51.4892035,-0.2188345,nan,,
St Mark's CofE School,126623,51.4727899,-0.2137736,nan,,
Haberdashers Askes School,126661,51.4675353,-0.0428835,nan,,
Haberdashers Askes School,126662,51.4736657,-0.0413281,nan,,
Scott Lidgett School,126673,51.4981984,-0.0609797,nan,,
St Bernard's School,126676,51.5241905,-0.0671634,nan,,
Walsingham School,126696,51.45567,-0.13209,nan,,
Finchley Manorhill School,126728,51.6092498,-0.1632726,nan,,
Aylestone Community School,126779,51.540337,-0.2190511,nan,,
Sladebrook High School,126780,51.5472321,-0.2592437,nan,,
South Kilburn School,126781,51.53096,-0.19585,nan,,
William Gladstone Community School,126782,51.5588142,-0.2324868,nan,,
Brondesbury and Kilburn School,126783,51.5391598,-0.2077609,nan,,
Neasden High School,126784,51.5612836,-0.2615061,nan,,
St Angela's RC School for Girls,126893,51.6161469,-0.1077534,nan,,
Somerset School,126906,51.60701,-0.07848,nan,,
Trinity School,126999,51.5185557,0.0159385,nan,,
St John's Catholic School,127000,51.5331616,0.037156,nan,,
The Elmgreen School,129649,51.4388406,-0.1020473,nan,,
Paddington Academy,130912,51.5249499,-0.1928917,1,13/03/2023,Outstanding
The Excelsior Academy,131062,51.5520265,-0.0698124,2,06/02/2024,Good
Westminster Academy,131262,51.5207202,-0.1929372,2,18/10/2023,Good
Virgo Fidelis Convent Senior School,131280,51.4220658,-0.0956801,nan,,
The Bridge Academy,131609,51.5356794,-0.072793,2,30/01/2013,Good
Arts and Media School Islington,131690,51.5676075,-0.1155032,2,20/04/2023,Good
Harris Academy Bermondsey,131747,51.4931989,-0.0718427,1,18/03/2015,Outstanding
Ark Burlington Danes Academy,131752,51.518167,-0.2325362,2,13/07/2022,Good
Park View School,131757,51.5864995,-0.0903522,2,22/02/2023,Good
Alexandra Park School,131758,51.6021426,-0.136145,nan,,
The Charter School,131812,51.4564237,-0.0888641,nan,,
Royal Docks Academy,131929,51.5107871,0.0357432,nan,,
Kingsford Community School,132058,51.5136513,0.0542473,2,18/10/2022,Good
Highlands School,132256,51.6496013,-0.1066441,Not judged,05/11/2024,Not judged
Harris Girls' Academy East Dulwich,132711,51.4570298,-0.054996,1,05/12/2023,Outstanding
Walthamstow Academy,132727,51.6000612,-0.0243827,2,06/03/2014,Good
Lammas School and Sixth Form,133287,51.56624,-0.0254833,nan,,
Bishop Challoner Boys' School,133289,51.5134165,-0.0495893,nan,,
Greig City Academy,133386,51.5873732,-0.1176458,2,27/11/2019,Good
Yesodey Hatorah Senior Girls School,133599,51.5735944,-0.0695664,2,08/05/2024,Good
City of London Academy (Southwark),134222,51.48923,-0.0646999,2,23/11/2021,Good
Harris Academy Peckham,134225,51.472721,-0.0736921,2,19/09/2011,Good
Harris Lowe Academy Willesden,134226,51.53996,-0.23293,Not judged,12/11/2024,Not judged
Mossbourne Community Academy,134693,51.5514459,-0.0620398,1,28/09/2021,Outstanding
The Elms Academy,134815,51.4572463,-0.1396112,2,04/02/2020,Good
